Tiếng Việt,Code-mixed,label
khi m nhận phòng đc nv xếp cho phòng ở tầng 1 là phòng twin nhưng p rất xấu chỉ giống nhà nghỉ,khi m nhận phòng đc staff xếp cho phòng ở tầng 1 là phòng twin nhưng room rất xấu chỉ giống  motel,negative
m thực sự thất vọng,mình really disappointed,negative
nhưng nhân viên ở đây khá nhiệt tình thân thiện,nhân viên ở đây khá friendly và enthusiasm,positive
tôi đặt phòng standard double nhưng thực tế thì ở phòng single cái này là do tôi nhìn trên bảng giá niêm yết của khách sạn thấy ghi những phòng nào là phòng single bao gồm có phòng của gia đình tôi,tôi đặt phòng standard double nhưng thực tế thì ở phòng single cái này là do tôi nhìn trên bảng giá niêm yết of the hotel thấy ghi những phòng nào là phòng single bao gồm có phòng của my family,neutral
do đó giường hơi nhỏ điều hòa ồn đêm có nhiều muỗi được cái gần bờ biển khu vực yên tĩnh phù hợp vớigia đình có trẻ nhỏ sáng và chiều ra biển tắm ăn hải sản tha hồ,do giường hơi nhỏ điều hòa ồn đêm có nhiều muỗi được cái gần bờ biển khu vực suitable không gian quiet với gia đình có trẻ nhỏ buổi sáng và chiều ra biển tắm eat seafood tha hồ,positive
khách sạn giá rẻ gần biển nhân viên lễ tân thiếu lịch sự với khách thái độ khó chịu,khách sạn giá cheap gần biển nhân viên lễ tân thiếu politely với khách thái độ khó chịu,negative
ý dịch vụ giặt là cần hỏi giá trước,washing service thì cần phải hỏi giá trước,neutral
vì không phải tính theo kg đâu mà là đếm cái ăn tiền,vì không phải count theo kg đâu mà là count cái ăn tiền,neutral
dịch vụ thuê xe cũng khá đắt,car rental service cũng khá đắt,negative
khách sạn đã cho tôi có 1 kỳ nghỉ tuyệt vời tôi rất hài lòng,khách sạn đã cho tôi có 1 a great holiday tôi rất hài lòng,positive
nhân viên ở khách sạn rất thân thiện hòa đồng,nhân viên ở hotel thì very friendly hòa đồng,positive
nhân viên nhiệt tình hỗ trợ khách trong thời gian lưu trú tôi rất hài lòng,staff nhiệt tình support khách trong suốt thời gian lưu trú tôi rất hài lòng,positive
khách san sạch sẽ nhân viên thân thiện phục vụ nhanh gần bái biển đi vào trung tâm thành phố rất tiện,khách san sạch sẽ friendly staff phục vụ nhanh gần bái biển đi vào the city centre rất tiện,positive
khách sạn gần sát biển chỉ mất 2p để đi bộ,khách sạn gần sát beach chỉ mất 2 minutes để đi bộ,positive
nhân viên lễ tân khá thân thiện nhưng dịch vụ dọn phòng chưa được tốt lười thay ga trải giường,nhân viên lễ tân khá thân thiện nhưng housekeeping service chưa được tốt lười thay bedsheets,negative
tôi và vợ mới cưới rất hài lòng với dịch vụ khách sạn,tôi và vợ mới cưới rất satisfaction with service khách sạn,positive
gần bãi biển và các quán ăn đồ biển phong phú giá cả vừa phải,gần seaside and  các quán ăn đồ biển phong phú price vừa phải,positive
từ ks bạn có thể vào trung tâm tp bằng xe máy thuê tại ks hoặc taxi khoảng 10 phút qua cầu sông hàn,từ khách sạn you can vào central tp bằng xe máy thuê tại khách sạn hoặc taxi khoảng 10 phút qua cầu sông hàn,positive
bạn có thể đi thăm chùa linh ứng bán đảo sơn trà rất đẹp nên đi có tượng phật bà quan âm chỉ khoảng 20 bằng 2 phương tiện trên đặc biệt đặt phòng qua agoda rất kinh tế mà an toàn,bạn can go chùa linh ứng bán đảo sơn trà rất đẹp nên đi có tượng phật bà quan âm chỉ khoảng 20 bằng 2 phương tiện trên đặc biệt book room qua agoda rất kinh tế mà an toàn,positive
tôi nghĩ chất lượng dich vụ khá tốt với chi phí bỏ ra,tôi nghĩ quality service khá tốt với chi phí bỏ ra,positive
gần biển nên rất thuận tiện,gần biển nên rất convenient.,positive
tôi khá hài lòng với ks atlantic nhân viên niềm nở nhiệt tình và còn đổi phòng to hơn cho chúng tôi khi chúng tôi có yêu cầu và tất nhiên không tính phí,tôi khá satisfied with ks atlantic nhân viên niềm nở enthusiasm and còn đổi phòng to hơn cho chúng tôi khi chúng tôi có yêu cầu và tất nhiên không tính phí,positive
mỗi tội phòng hơi nhỏ nhưng vì đi du lịch ko mấy ở ks nên đây ko phải là vấn đề,mỗi tội steam room nhỏ nhưng vì đi du lịch ko mấy ở ks should đây ko phải là problem,negative
khách sạn gần biển chỉ đi bộ vài phút là tới biển nên tôi và gd ra biển thường xuyên hơn,hotel near the sea chỉ đi bộ vài phút là tới biển nên tôi và gd ra biển thường xuyên hơn,positive
chúng tôi chỉ nghỉ một đêm tại đây nhưng thực sự không hài lòng lắm về lựa chọn của mình,chúng tôi chỉ nghỉ a night tại đây nhưng thực sự không consent lắm về lựa chọn của mình,negative
view biển bị chắn bởi khách sạn đang xây bên cạnh nhưng được cái là khá gần biển,view biển bị chắn bởi hotel đang xây bên cạnh nhưng được cái là khá gần biển,negative
đi nghỉ đúng vào dịp mưa va lạnh kéo dài được cái vị trí và view của khách sạn tương đối ổn nên cũng đỡ đi phần nào,đi nghỉ đúng vào dịp mưa va lạnh kéo dài được cái vị trí và view của hotel thì relatively fine nên cũng đỡ đi phần nào,positive
kể ra khách sạn lắp cái điều hòa 2 chiều thì tốt mua lạnh mà ko có máy sưởi thì cũng hơi thất vọng,kể ra khách sạn lắp air conditioning 2 chiều thì tốt mua lạnh mà ko có máy sưởi thì cũng hơi disappointed,negative
khách sạn sẽ trở nên lý tưởng hơn nếu đến nghỉ vào mùa hè vì địa thế gần biển có thể dễ dàng ra biển hoặc ngắm cảnh biển từ khách sạn,khách sạn sẽ trở nên lý tưởng hơn nếu đến nghỉ vào mùa hè vì địa thế gần biển can be easy ra biển hoặc ngắm cảnh biển từ khách sạn,positive
du lịch dn vào mùa đông không được vui vì trời mưa kéo dài và biển động,du lịch dn vào mùa đông unhappy vì trời mưa kéo dài và biển động,negative
khách sạn xứng đáng 3 với các trang thiết bị trong phòng nhân viên ở đây rất nhiệt tình đặc biệt là nhân viên bảo vệ cũng như khuân hành lý đã giúp gia đình tôi rất nhiều,khách sạn xứng đáng 3 với các trang thiết bị trong phòng nhân viên ở đây very enthusiastic đặc biệt là nhân viên bảo vệ cũng như khuân hành lý đã giúp my family rất rất nhiều,positive
biển đẹp tuyệt vời yên tĩnh,biển đẹp tuyệt vời quiet,positive
hài lòng với không gian và dịch vụ của khách sạn tuy nhiên đồ ăn sáng hơi kém phong phú và gian phòng ăn hơi chật chội nên kh khách đông phải xếp hàng chờ,satisfied with space and dịch vụ of the hotel tuy nhiên đồ ăn sáng hơi kém phong phú và gian phòng ăn hơi chật chội nên kh khách đông phải xếp hàng chờ,neutral
tôi nghĩ nên linh động cho khách về thời gian trả phòng và nhắc khách của agoda giờ trả phòng,tôi nghĩ nên linh động for guests về thời gian trả phòng và nhắc khách của agoda giờ trả phòng,neutral
một kỳ nghỉ tuyệt vời thích hợp cho các gia đình kể cả có con nhỏ,a holiday tuyệt vời thích hợp cho các gia đình kể cả có con nhỏ,positive
vị trí hơi xa trung tâm đà lạt nhưng hoàng anh gia lai resort có được khuôn viên rộng rãi thoải mái tạo cho tôi cảm giác thư giản nghỉ ngơi đúng với nhu cẩu nghỉ dưỡng của tôi nơi đây nếu có trang bị hồ bơi nước nóng sẽ rất tốt,vị trí hơi far from the center đà lạt nhưng hoàng anh gia lai resort có được khuôn viên rộng rãi thoải mái tạo cho tôi cảm giác thư giản nghỉ ngơi đúng với nhu cẩu nghỉ dưỡng của tôi nơi đây nếu có trang bị hồ bơi nước nóng sẽ rất tốt,neutral
tôi rất thích nghỉ ngơi ở hagl và luôn chọn hagl làm điểm dừng chân mỗi khi đến dl,tôi rất thích nghỉ ngơi ở hagl và luôn chọn hagl làm destination mỗi khi đến dl,positive
ở hagl tôi không cần phải đi ra ngoài vì ở đây có tất cả,ở hagl tôi không cần phải đi ra ngoài vì ở đây has all,positive
tuy nhiên tôi vẫn chưa hài lòng về dịch vu bar va hy vọng lần sau sẽ thấy bar thật sự sống va hot hơn,tuy nhiên tôi vẫn chưa satisfied about dịch vu bar va hy vọng lần sau sẽ thấy bar thật sự sống va hot hơn,negative
thiết kế mang bạn hòa mình vào thiên nhiên khung cảnh thân thiện tạo cho du khách một cảm giác âm áp gần gữi và thân mật,thiết kế mang bạn hòa mình vào thiên nhiên khung cảnh thân thiện tạo cho du khách một cảm giác âm áp close and intimate,positive
nếu bạn đã trải nghiệm du lịch nghỉ dưỡng ở đà lạt bạn sẽ gặp khó khăn trong vấn đề ẩm thực,nếu bạn đã trải nghiệm du lịch nghỉ dưỡng ở đà lạt bạn sẽ gặp khó khăn in vấn đề cuisine,neutral
khi bạn đến với hoàng anh gia lai resort bạn hoàn toàn yên tâm và thưởng thức về kỳ nghỉ của bạn hãy tận hưởng cuộc sống và những chuyến nghỉ dưỡng của bạn với những gì resort hoang anh gia lai mang lại cho bạn,khi bạn đến với hoàng anh gia lai resort bạn hoàn toàn yên tâm và thưởng thức về kỳ nghỉ của bạn hãy enjoy life and những chuyến nghỉ dưỡng của bạn với những gì resort hoang anh gia lai mang lại cho bạn,positive
chúc các bạn có được những ngày nghỉ thoải mái và hạnh phúc khi có những lựa chọn đúng cho kỳ nghỉ của mình,chúc you guys có được những ngày nghỉ comfortable and happy khi có những lựa chọn đúng cho kỳ nghỉ của mình,neutral
nhìn chung hoàng anh là 1 resort cao cấp tiện nghi và sạch sẽ nhân viên lễ độ chu đáo dịch vụ hoàn hảo,nhìn chung hoàng anh là 1 resort cao cấp convenient and clean nhân viên lễ độ chu đáo dịch vụ hoàn hảo,positive
nếu resort chịu đầu tư thêm các hạng mục giải trí bên trong khu vực để du khách có thể vui chơi thư giãn sau khi tham quan đà lạt thì càng tuyệt vời,nếu resort chịu đầu tư thêm các hạng mục giải trí bên trong khu vực để du khách có thể vui chơi thư giãn sau khi tham quan đà lạt thì the more wonderful,neutral
phòng nào cũng có muỗi và kiến,phòng nào cũng có mosquitoes and ants,negative
rất nhiều muỗi,rất nhiều mosquitoes,negative
đồ ăn thì dở,đồ ăn thì bad,negative
nhân viên tỏ ra thân thiện trong hướng dẫn khách nhưng nhờ hỏi dịch vụ thuê xe thì báo giá cao hơn thực thế nhiều,nhân viên tỏ ra thân thiện trong hướng dẫn khách nhưng nhờ hỏi rent service xe thì báo high price hơn thực thế nhiều,neutral
rất nhiều muỗi và kiến,rất nhiều  mosquitoes và ant,negative
thức ăn dở,food thì dở,negative
